"country","happiness_score","gpd_per_capita","social_support","healthy_life_expectancy","freedom_to_make_life_choices","latitude","longtitude"
"Afghanistan",2.4,0.758,0,0.289,0,33,65
"Albania",5.2,1.44,0.646,0.719,0.511,41,20
"Algeria",5.12,1.36,0.97,0.643,0.146,28,3
"Argentina",5.97,1.59,1.1,0.662,0.555,-34,-64
"Armenia",5.4,1.43,0.82,0.668,0.558,40,45
"Australia",7.16,1.9,1.2,0.772,0.676,-27,133
"Austria",7.16,1.93,1.17,0.774,0.623,47.3333,13.3333
"Azerbaijan",5.17,1.46,1.09,0.56,0.601,40.5,47.5
"Bahrain",6.65,1.85,1.03,0.625,0.693,26,50.55
"Bangladesh",5.16,1.06,0.614,0.581,0.622,24,90
"Belarus",5.82,1.56,1.16,0.629,0.342,53,28
"Belgium",6.81,1.91,1.11,0.764,0.492,50.8333,4
"Benin",4.62,0.932,0.064,0.335,0.479,9.5,2.25
"Bosnia and Herzegovina",5.77,1.47,1.07,0.665,0.448,44,18
"Botswana",3.47,1.5,0.815,0.28,0.571,-22,24
"Brazil",6.29,1.46,1.04,0.615,0.546,-10,-55
"Bulgaria",5.37,1.63,1.16,0.64,0.563,43,25
"Burkina Faso",4.67,0.779,0.565,0.32,0.382,13,-2
"Cambodia",4.64,1.02,0.732,0.505,0.74,13,105
"Cameroon",5.05,0.968,0.672,0.317,0.397,6,12
"Canada",7.03,1.89,1.19,0.783,0.659,60,-95
"Chad",4.25,0.662,0.506,0.225,0.18,15,19
"Chile",6.17,1.65,1.08,0.748,0.46,-30,-71
"China",5.59,1.51,0.958,0.705,0.656,35,105
"Colombia",5.78,1.45,0.929,0.72,0.545,4,-72
"Comoros",4.61,0.899,0.476,0.424,0.185,-12.1667,44.25
"Congo",5.08,0.95,0.405,0.355,0.431,-1,15
"Costa Rica",6.58,1.58,1.05,0.744,0.661,10,-84
"Croatia",6.13,1.71,1.18,0.709,0.535,45.1667,15.5
"Cyprus",6.22,1.82,0.909,0.819,0.448,35,33
"Denmark",7.64,1.95,1.24,0.777,0.719,56,10
"Dominican Republic",5.74,1.54,1,0.577,0.606,19,-70.6667
